Job 1 | PendingExecution | validator: raivaloper15mcu5fhtrq2nek3z2fcpuuqmwuwynhzw9rd772 | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 2 | PendingExecution | validator: raivaloper15mcu5fhtrq2nek3z2fcpuuqmwuwynhzw9rd772 | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 3 | PendingExecution | validator: raivaloper15mcu5fhtrq2nek3z2fcpuuqmwuwynhzw9rd772 | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 4 | PendingExecution | validator: raivaloper15mcu5fhtrq2nek3z2fcpuuqmwuwynhzw9rd772 | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 5 | PendingExecution | validator: raivaloper15mcu5fhtrq2nek3z2fcpuuqmwuwynhzw9rd772 | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 6 | PendingExecution | validator: raivaloper1s6zw67ge2favapkr2mcy8rurhsvsrpflgcvk8q | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 7 | PendingExecution | validator: raivaloper15mcu5fhtrq2nek3z2fcpuuqmwuwynhzw9rd772 | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 8 | PendingValidation | validator: raivaloper1nj8dxf0f9na4ktey47pgzpy3hwkyqvmfd2fkhs | fetch: http://localhost:8080/result/8 | upload: http://localhost:8080/upload
Job 9 | PendingValidation | validator: raivaloper1nj8dxf0f9na4ktey47pgzpy3hwkyqvmfd2fkhs | fetch: https://republic.nodesafe-app.xyz/result/9 | upload: https://republic.nodesafe-app.xyz/upload
Job 10 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/10/result.bin | upload: http://localhost:8080/upload
Job 11 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/11/result.bin | upload: http://142.170.89.112:8080/upload
Job 12 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/12/result.bin | upload: http://142.170.89.112:8080/upload
Job 13 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/13/result.bin | upload: http://142.170.89.112:8080/upload
Job 14 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/14/result.bin | upload: http://142.170.89.112:8080/upload
Job 15 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/15/result.bin | upload: http://142.170.89.112:8080/upload
Job 16 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/16/result.bin | upload: http://142.170.89.112:8080/upload
Job 17 | PendingExecution | validator: raivaloper1z4fju9nfpenzguuvak3cj5dnwnxnxh2uewuge5 | fetch: http://192.168.1.5:8080/result | upload: http://192.168.1.5:8080/upload
Job 18 | PendingExecution | validator: raivaloper1z4fju9nfpenzguuvak3cj5dnwnxnxh2uewuge5 | fetch: http://192.168.1.5:8080/result | upload: http://192.168.1.5:8080/upload
Job 19 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/19/result.bin | upload: http://142.170.89.112:8080/upload
Job 20 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/20/result.bin | upload: http://142.170.89.112:8080/upload
Job 21 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/21/result.bin | upload: http://142.170.89.112:8080/upload
Job 22 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/22/result.bin | upload: http://142.170.89.112:8080/upload
Job 23 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/23/result.bin | upload: http://142.170.89.112:8080/upload
Job 24 | PendingExecution | validator: raivaloper18snkcasv8aa3vuexg3fxrynz54jy8am89chsxj | fetch: http://142.170.89.112:8080/result | upload: http://142.170.89.112:8080/upload
Job 25 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/25/result.bin | upload: http://142.170.89.112:8080/upload
Job 26 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/26/result.bin | upload: http://142.170.89.112:8080/upload
Job 27 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/27/result.bin | upload: http://142.170.89.112:8080/upload
Job 28 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/28/result.bin | upload: http://142.170.89.112:8080/upload
Job 29 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/29/result.bin | upload: http://142.170.89.112:8080/upload
Job 30 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/30/result.bin | upload: http://142.170.89.112:8080/upload
Job 31 | PendingExecution | validator: raivaloper1z4fju9nfpenzguuvak3cj5dnwnxnxh2uewuge5 | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 32 | PendingValidation | validator: raivaloper1cucu7k60gmqx9mflvvjhguv3pf2q42774mz0ht | fetch: http://142.170.89.112:8080/32/result.bin | upload: http://142.170.89.112:8080/upload
Job 33 | PendingValidation | validator: raivaloper1vgjpdewsmvnrdqlk75pmhhae397wghfkfv8zr2 | fetch: https://republicai.devn.cloud/33/result.bin | upload: https://republicai.devn.cloud/upload
Job 34 | PendingExecution | validator: raivaloper1xnjkyyggaz54288vtrsle9wjwqz5tz4lttk8ka | fetch: http://142.170.89.112:8080/result | upload: http://142.170.89.112:8080/upload
Job 35 | PendingValidation | validator: raivaloper1huys4p0udsekuseak5sp8znydcekm8ha8gvjwh | fetch: http://113.22.86.9:8080/35/result.bin | upload: http://113.22.86.9:8080/upload
Job 36 | PendingExecution | validator: raivaloper1huys4p0udsekuseak5sp8znydcekm8ha8gvjwh | fetch: http://113.22.86.9:8080/result | upload: http://113.22.86.9:8080/upload
Job 37 | PendingExecution | validator: raivaloper1huys4p0udsekuseak5sp8znydcekm8ha8gvjwh | fetch: http://42.112.133.98:8080/result | upload: http://42.112.133.98:8080/upload
Job 38 | PendingValidation | validator: raivaloper1vgjpdewsmvnrdqlk75pmhhae397wghfkfv8zr2 | fetch: https://republicai.devn.cloud/38/result.bin | upload: https://republicai.devn.cloud/upload
Job 39 | PendingExecution | validator: raivaloper1z4fju9nfpenzguuvak3cj5dnwnxnxh2uewuge5 | fetch: http://localhost:8080/result | upload: http://localhost:8080/upload
Job 40 | PendingValidation | validator: raivaloper1vgjpdewsmvnrdqlk75pmhhae397wghfkfv8zr2 | fetch: https://republicai.devn.cloud/40/result.bin | upload: https://republicai.devn.cloud/upload
